Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
164500,16557,49893,243940043,163206012,85224,158727,289760
165000,15711,50036,262893951,196445031,81170,161855,290064
165500,16610,48763,291285891,160459189,73260,159183,288182
166000,16796,48928,261803265,175891718,76101,175133,289715
166500,15087,54863,271981026,169643885,73800,153321,299803
167000,16469,47390,268100308,185813400,77471,159763,287819
167500,16840,48282,253936642,187020796,78334,163932,292990
168000,17154,48917,248819619,175975505,75148,154294,313435
168500,16455,48295,262613165,166411782,77076,176550,311574
169000,16216,49360,278995631,154254513,72288,161526,306596
169500,17663,50557,269135643,223100360,73400,162022,313234
170000,16767,48047,266543136,192933400,78490,174010,307795
170500,16296,48269,271601249,195260510,76115,155951,307589
171000,16708,47882,275413084,186063306,75658,161922,310160
171500,15820,48483,282389124,186689224,77307,155373,295283
172000,16041,49361,281776142,188162507,77966,155650,297640
172500,15779,50066,296541835,178197060,79070,160321,312480
173000,19470,49667,299738921,207527461,75987,163844,310973
173500,15161,49238,303260832,191936935,74191,160812,305709
174000,15197,50432,292502302,180871084,72598,160136,308298
174500,16556,49266,278785385,188157598,77581,173343,311012
175000,16404,50597,285088673,195438641,71788,161920,322238
175500,4912026,48985,285844304,192679279,71002,164033,309275
176000,26084,49467,285509462,217120634,81846,161140,314840
176500,43384,49195,288679339,200963129,75950,162239,323014
177000,21801,48572,279451363,202297924,71229,157742,315556
177500,20939,49310,336667136,201564923,91540,156821,307433
178000,21270,49069,462196570,224916043,78510,164865,311092
178500,22520,48467,503742090,232078821,88408,161594,309861
179000,21598,48841,392769514,209169100,84726,171481,316234
179500,20745,49856,289620333,195083879,76660,162626,325498
180000,21736,50097,284547971,191510715,77117,162688,320570
180500,20514,47780,276673382,235030984,82055,162785,320254
181000,21721,49457,278499786,201605639,78930,160232,306933
181500,22672,49154,277546562,199541896,81551,162063,323818
182000,22202,50077,294632115,204829920,83051,163923,308405
182500,21461,49844,280997880,246568854,82586,159728,317678
183000,21117,50580,281019160,258719200,84260,172800,311732
183500,21819,50129,292315008,202576041,81561,160918,317215
184000,21990,49628,304567515,213694387,83600,162045,313592
184500,21506,49117,349473602,186019623,79901,163126,319298
185000,25794,48340,387155854,223999235,85010,174127,319889
185500,22385,49919,370906666,197122848,83685,169540,317016
186000,26858,50681,322017235,198015436,91375,158741,337703
186500,29003,49301,310039954,210069793,88627,165765,333939
187000,21919,49419,294041673,237956882,88945,183834,311754
187500,18155,50882,296643810,235568783,89545,160164,317156
188000,20139,50564,319708754,196398522,103242,160874,311211
188500,19997,51518,331836035,173086797,85909,160353,315103
189000,20776,50292,322340895,194760539,87356,170284,317926
189500,20699,49718,323700636,216599352,92800,164621,319151
190000,19408,50543,328107784,210564688,83410,164707,312750
190500,19395,49230,403019361,222485058,92128,162076,313024
191000,19770,49624,457932926,229218106,87234,173231,312018
191500,19667,49369,346052227,233582223,85436,164604,330266
192000,18783,50646,311508125,229153100,87788,162945,312702
192500,20137,48927,319690255,232948627,91516,169758,312362
193000,20785,49569,309781813,214941868,92245,164412,316928
193500,19747,49325,315733851,251621840,92902,165549,324438
194000,19843,49515,332308281,256037995,96348,166026,429278
194500,19438,49231,333325761,237650890,89098,164816,426070
195000,21100,49609,317841164,226915183,95303,167152,422663
195500,19397,49420,326048572,198554697,96748,178310,441138
196000,18735,49574,352307252,230807764,91627,182750,420347
196500,19394,51584,521169819,254549062,91757,164524,418228
197000,19999,48498,502636581,264521806,97828,167000,430595
197500,18523,51272,337237752,199838271,90146,160719,441481
198000,18750,50065,322066514,235062453,89143,165352,472226
198500,18373,49325,313998058,247172054,91597,171774,435448
199000,18958,48499,314342207,209161262,88660,177241,435689
199500,20513,47471,328249178,263300486,91032,163534,436293
199998,17690,50001,335305918,234856588,93990,164661,445680
