Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
238000,11036,50835144,54591470,541036885,25202,30952,72547
238500,11640,50444576,55072493,502145345,26823,32025,71234
239000,11883,49916475,57339045,458178496,38586,32026,75527
239500,12059,49472805,57130283,462217328,31845,26542,73772
240000,11787,49094026,57116459,447070865,25874,25679,74664
240500,11805,48706036,57886111,403121594,23086,26955,80980
241000,11701,48201936,59081057,403323703,23151,33868,79367
241500,11208,47788669,59627627,401407561,22198,32278,89396
242000,11704,47602879,67180873,398892863,25260,27312,76778
242500,11200,46894743,69064370,461241926,22842,28817,75469
243000,11536,46551489,61523212,476851244,26220,33426,80454
243500,11240,46123577,62210206,386117762,23495,36866,79356
244000,11469,45687262,62123563,381375340,25292,30074,75756
244500,11373,45254853,62825653,369198712,26242,23399,77023
245000,12714,44818070,63436016,351677595,24253,22176,75830
245500,10913,46182020,64009664,346365651,25099,21559,74128
246000,10657,44303383,65305895,357232183,22976,21484,72589
246500,11345,43675414,65594003,332195813,22854,21900,74660
247000,11427,46679125,68423114,333864423,23556,20261,73747
247500,11994,42813201,69463367,351280546,27375,20655,72319
248000,11532,42322868,69023949,340476141,24621,22604,72891
248500,11337,41859335,70032575,345547793,24122,35606,73658
249000,11601,41458565,72927316,307918705,25031,22991,74952
249500,11501,40985665,71017222,296451496,22658,20624,76406
250000,11291,40594014,70464931,296224260,25851,22690,72779
250500,11618,40278080,71494272,284315418,21658,26764,73712
251000,11515,39779505,72817273,293583547,20062,26533,73822
251500,11194,39333925,77266032,287077194,20832,25797,72893
252000,11263,38973515,74485085,278461480,19959,24949,72619
252500,11889,38691653,74018847,288296151,20146,26545,73276
253000,11478,38159466,74914764,278806918,21510,25709,75726
253500,22876,37637085,75727784,264241567,20136,27302,72858
254000,12760,37265764,80305869,269493861,20811,25191,75366
254500,11580,36796101,79404116,254232473,20179,25956,72329
255000,12072,37289997,79224729,267091829,20009,26170,75919
255500,11333,36048943,82186879,268874040,20426,27293,74224
256000,11733,35539593,80515902,265090256,21371,24683,72068
256500,11346,35077581,81106929,248977828,19984,26133,74620
257000,11427,58722307,82067090,236450014,21031,27674,75751
257500,12124,53736522,81770147,245422131,20466,24841,73416
258000,11396,60981729,83517079,231159460,20564,25170,72601
